x,y,timestamp_ms
104,321,2409
107,324,2423
114,328,2435
121,332,2447
139,340,2463
146,343,2474
167,351,2484
185,356,2496
227,368,2507
247,374,2519
299,384,2531
323,388,2543
379,392,2556
407,392,2570
455,392,2580
483,392,2592
529,390,2604
551,386,2615
588,378,2628
607,375,2640
635,367,2653
649,362,2664
672,349,2676
680,343,2689
692,328,2701
694,321,2713
700,308,2726
701,302,2737
702,286,2750
702,269,2762
702,259,2774
701,237,2787
699,229,2798
690,209,2811
684,198,2823
663,175,2835
654,167,2847
633,150,2860
619,143,2872
596,137,2885
586,135,2897
572,134,2909
567,135,2921
561,137,2933
556,140,2945
548,146,2957
538,158,2970
533,167,2982
526,178,2994
524,184,3006
515,205,3019
513,209,3030
511,221,3043
510,230,3053
508,236,3065
507,252,3078
507,265,3090
507,273,3102
507,288,3114
508,296,3126
514,311,3139
518,320,3151
530,336,3163
536,343,3177
548,355,3188
555,359,3200
571,369,3212
578,373,3224
591,380,3236
602,384,3249
621,390,3261
632,393,3273
650,398,3285
660,399,3298
680,401,3310
698,401,3322
705,401,3335
714,401,3347
719,400,3360
728,397,3371
732,395,3384
740,390,3396
744,387,3409
748,382,3420
750,379,3432
751,368,3445
751,364,3457
748,348,3469
748,343,3481
745,329,3494
742,318,3506
735,298,3518
726,278,3530
723,271,3543
716,261,3554
711,257,3567
698,249,3579
693,247,3593
679,242,3604
675,240,3615
663,240,3628
661,240,3640
653,240,3652
648,242,3664
641,246,3677
638,248,3689
630,254,3701
625,257,3713
616,268,3727
611,274,3738
608,278,3750
607,284,3762
607,286,3774
607,291,3786
607,293,3799
609,298,3811
611,300,3823
614,303,3835
616,305,3847
619,307,3861
621,308,3873
626,311,3885
629,311,3897
634,312,3910
637,312,3921
643,310,3934
651,306,3946
654,302,3959
668,293,3970
674,287,3983
688,272,3995
694,264,4007
699,258,4019
701,253,4031
705,242,4044
706,236,4056
707,223,4068
707,217,4080
706,205,4094
703,198,4105
696,181,4117
692,174,4129
680,158,4141
674,149,4154
659,134,4166
644,121,4178
640,116,4190
624,105,4203
619,101,4215
609,94,4227
604,92,4239
595,89,4251
590,88,4263
578,85,4277
575,85,4287
561,85,4299
551,85,4311
525,85,4324
507,87,4336
471,93,4349
457,96,4361
424,104,4371
410,109,4382
398,114,4393
380,122,4405
368,130,4419
363,135,4430
355,144,4443
350,152,4453
344,162,4466
342,168,4478
334,185,4490
331,192,4502
325,209,4514
324,218,4527
324,232,4539
324,240,4552
325,250,4564
326,256,4577
331,270,4588
337,279,4601
344,290,4613
349,297,4625
358,304,4637
363,311,4649
376,323,4662
384,331,4674
399,346,4686
413,363,4699
419,373,4710
425,381,4723
427,385,4735
429,389,4747
431,392,4760
433,397,4772
435,400,4784
438,406,4796
439,408,4810
443,413,4820
444,415,4833
447,417,4844
449,419,4856
450,420,4868
451,421,4881
452,422,4893
452,422,4905
452,422,4918
452,422,4930
452,423,4943
451,427,4954
449,429,4966
443,433,4978
440,434,4991
431,437,5003
424,440,5015
395,448,5027
379,452,5040
337,462,5053
320,465,5065
285,469,5077
271,469,5089
256,469,5101
250,469,5113
238,464,5126
231,460,5138
229,457,5150
222,448,5162
219,441,5175
215,430,5187
215,427,5199
214,413,5211
214,405,5223
214,395,5235
214,391,5248
217,378,5260
218,372,5272
221,366,5284
222,364,5296
223,361,5310
224,360,5321
225,358,5333
225,357,5346
226,357,5359
227,356,5370
227,355,5382
229,353,5394
230,352,5407
232,351,5419
232,350,5431
232,349,5443
233,349,5455
